Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	TotalEnvInteracts	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	TestEpLen	LossQ1	LossQ2	LossPi	Q1val	Q2val	Time	remian_mins
41	913.88727	650.47906	2196.121	53.310665	1695.2858	410000	613.2237	397.937	1060.6196	93.87644	1156.3334	0.2823299	0.1800986	-12.269431	23.698008	23.69801	2358.1931030750275	440.0043226239158
42	1031.5618	1244.3019	3631.7615	7.4285407	1894.5	420000	460.47696	229.8278	762.252	205.04239	981.6667	0.38298768	0.24237208	-12.473752	23.997221	23.997328	2423.6282517910004	440.4848169739284
43	497.0149	424.79205	1491.6711	22.41675	945.8	430000	500.5027	508.80603	1203.7916	17.086273	865.3333	0.39359298	0.25345096	-12.447889	24.070175	24.070242	2480.494230747223	439.3743655099425
44	389.64655	259.25198	1082.2897	48.95754	844.1	440000	453.80466	390.18762	1003.8246	140.34758	887.0	0.37964723	0.25959495	-12.416848	24.071583	24.071686	2532.719432115555	437.46971992796114
45	5444.343	3860.6653	9305.008	1583.6774	6012.0	450000	929.98755	654.9182	1648.3473	64.501144	1331.0	0.3412814	0.22506706	-12.938797	25.164679	25.164724	2602.9295814037323	438.6418366652948
46	314.77182	355.7719	1293.3483	42.88779	635.6667	460000	451.859	405.2974	998.5761	29.422464	872.0	0.3552492	0.22996488	-13.167444	25.608734	25.60885	2650.443473339081	435.97874509528066
47	3040.7048	3439.1936	7886.6045	257.16965	3823.3333	470000	1634.2207	1465.153	3564.6982	17.09816	2507.3333	0.3561971	0.23119892	-13.853944	26.94405	26.94419	2721.173211812973	437.12463280824903
48	931.5251	299.54382	1352.5134	566.69507	1589.6666	480000	1931.9731	1217.536	3568.754	650.655	3381.3333	0.36207154	0.23707534	-14.171478	27.551033	27.550955	2784.7438576221466	437.050077504913
49	1167.3854	1218.9427	3216.5903	20.044691	1785.5	490000	621.91046	249.80693	862.4932	277.5762	1407.6666	0.36988962	0.22764775	-14.605065	28.38888	28.388903	2848.088762998581	436.9006910118116
50	434.58997	285.99155	815.9263	0.29836035	778.2308	500000	415.45764	164.39546	563.1469	186.11473	799.6667	0.3993014	0.23773636	-14.636773	28.460688	28.46083	2907.8246302604675	436.1736943602562
51	1339.6895	2070.3684	4923.5483	60.55788	2606.25	510000	2713.2717	3677.6738	7914.2065	87.56004	3580.0	0.39184177	0.26198593	-14.526467	28.406322	28.406435	2976.0534896850586	436.68235827886986
52	297.50403	345.228	1083.5577	5.315924	553.5455	520000	931.883	374.38815	1441.0865	551.6488	1481.0	0.38874108	0.25592083	-14.458884	28.278172	28.278313	3017.3368825912476	433.2586291924501
53	1810.8649	1565.8975	4655.6313	74.91205	2760.0	530000	422.70053	362.61398	934.64075	140.82156	814.3333	0.3771313	0.23907061	-14.407254	28.1317	28.13171	3095.1327764987946	435.07055049122505
54	856.3626	729.21625	2230.182	0.2984365	1365.4286	540000	631.393	724.6228	1647.4401	7.811419	1054.3334	0.3682114	0.22027972	-14.617471	28.563593	28.563494	3152.1959466934204	433.9133925308416
55	2928.6543	515.7899	3444.4443	2412.8645	5215.5	550000	1465.6403	1629.3663	3754.0493	87.68379	1918.6666	0.39912388	0.21245131	-14.834393	28.819183	28.819187	3216.06889796257	433.68201792998747
56	1429.6099	0.0	1429.6099	1429.6099	2339.0	560000	315.41495	141.85992	503.02533	160.06204	716.0	0.4015395	0.2015549	-15.016843	29.057365	29.057453	3236.823314189911	427.72308061463497
57	3372.8813	3282.624	6655.5054	90.25722	5183.0	570000	980.08685	760.2357	2034.1799	269.72824	1796.3334	0.38886476	0.19423209	-15.339656	29.752499	29.752478	3300.186721801758	427.48032667546244
58	1741.1085	2386.5225	7011.0664	251.25607	2663.3333	580000	2383.8499	812.73004	3487.89	1555.0321	3102.0	0.3868301	0.20870681	-15.572777	30.341103	30.341026	3393.796499967575	431.0511644693627
59	8312.1	0.0	8312.1	8312.1	10000.0	590000	271.21365	126.96114	383.27536	93.6907	659.0	0.37309924	0.21148506	-15.759978	30.729525	30.72955	3452.807338953018	430.1378632931386
60	2724.9817	3642.57	7875.227	56.54878	3619.0	600000	3415.261	3995.9497	9032.004	67.844696	4023.6667	0.3501918	0.19209069	-16.199516	31.610355	31.610205	3522.715598344803	430.5541285408868
61	470.3848	262.17505	768.5796	67.44573	975.8333	610000	1395.9369	1259.6619	3144.1045	225.11331	2097.6667	0.3523413	0.18995227	-16.240479	31.728992	31.728844	3565.4681253433228	427.6613406030207
62	1849.6732	1903.7916	4943.987	50.569035	2559.8	620000	3236.7976	4143.8154	9094.326	153.67682	3812.6667	0.3681176	0.18882579	-16.44168	32.10146	32.101402	3645.8558967113495	429.2701296337189
63	1019.2987	1139.5542	3740.707	52.00839	1504.625	630000	5649.1196	3778.072	8367.308	306.39243	6891.0	0.39271808	0.19322324	-16.548365	32.267113	32.26707	3730.0578105449677	431.2262599701604
64	1206.8639	0.0	1206.8639	1206.8639	2073.0	640000	1667.9028	1760.3989	4107.27	17.380045	2082.0	0.39419466	0.19558041	-16.536232	32.24301	32.243073	3754.3203897476196	426.27179417138296
65	1853.3529	2921.693	8772.661	111.71461	2410.1428	650000	1240.045	1245.1815	2998.1733	274.64117	2116.0	0.37853247	0.1951362	-16.808596	32.861347	32.861298	3848.336473464966	429.23752962625946
66	2634.3008	1790.7612	5073.749	825.4598	3504.3333	660000	3267.6924	2516.9143	6794.827	1089.6644	4357.6665	0.35717085	0.1874397	-16.967735	33.29219	33.292233	3916.9445254802704	429.281293849632
67	8172.862	0.0	8172.862	8172.862	10000.0	670000	2578.7744	3483.785	7504.6245	31.363419	3365.6667	0.34082484	0.1781355	-17.291388	33.95918	33.959156	3984.358551502228	429.1610080309175
68	1259.9789	1165.8057	3348.441	58.415585	1937.8	680000	2793.7751	3484.6028	7712.057	67.12807	3877.0	0.33912998	0.16856006	-17.478573	34.321545	34.321507	4049.4068920612335	428.76072962143843
69	907.7925	1151.8508	3245.739	0.29818773	1431.7142	690000	957.89044	1123.577	2545.361	104.23399	1497.0	0.32709926	0.16311707	-17.5794	34.52937	34.529392	4108.632161617279	427.7344109289888
70	834.167	753.101	2340.2766	0.2971125	1335.875	700000	2016.6426	2543.7544	5606.5864	21.033075	3074.3333	0.33419725	0.18124299	-17.47577	34.38302	34.382965	4177.168239593506	427.6624625274113
71	1559.0302	2028.2283	5070.139	280.22214	2550.75	710000	446.34024	202.24065	677.87354	185.15639	963.0	0.34437695	0.18793832	-17.331125	34.07344	34.073387	4237.24484539032	426.7084596862256
72	3725.4429	1168.0992	4893.542	2557.3435	4809.0	720000	2214.1897	1253.701	3312.2515	459.6114	2901.0	0.34808052	0.18896669	-17.295141	34.01588	34.015797	4299.773218393326	425.9960502463358
73	725.0052	347.66504	1315.2051	301.93967	1224.75	730000	287.81857	62.01531	351.70178	203.83804	631.3333	0.3451813	0.17659853	-17.344086	34.074142	34.0741	4357.794602394104	424.8352271267268
74	782.11835	468.63196	1333.4368	7.3142047	1322.0	740000	244.03862	167.21535	441.83136	32.892597	494.33334	0.3313039	0.16507444	-17.3014	34.02927	34.029144	4413.148752212524	423.42373151682517
75	804.9901	882.495	2894.1157	15.138637	1316.875	750000	203.9098	189.51187	456.64224	0.29814443	438.66666	0.31961125	0.15803508	-17.27039	33.95635	33.956284	4473.678262472153	422.51405803230074
76	528.9442	504.60437	1513.1931	13.923021	947.6667	760000	1334.798	1129.517	2925.1353	409.88565	2216.6667	0.31728968	0.15681143	-17.276169	33.94675	33.946728	4527.0424246788025	420.93552360952947
77	936.26514	1018.114	2878.1575	44.452328	1495.0	770000	2787.1243	2277.4568	5894.5547	499.84097	3948.3333	0.32560986	0.15789975	-17.290571	34.00695	34.00692	4590.414020776749	420.29115374119255
78	1810.4791	1353.8389	3843.9807	147.52234	2514.4	780000	1554.8394	1003.9818	2879.3767	449.65988	2197.6667	0.31234655	0.15024741	-17.421066	34.27073	34.27067	4666.249839782715	420.7601350182142
79	1411.4156	945.2728	2356.2668	364.5931	2287.25	790000	1674.7523	1336.3438	3442.4236	211.92998	2632.0	0.31018195	0.14444023	-17.758755	34.92157	34.921516	4725.824694395065	419.7409696073472
80	3759.177	724.3147	4483.4917	3034.8623	5299.0	800000	1206.0135	848.8386	1866.4934	7.6634383	2066.6667	0.31895143	0.13327047	-17.98999	35.33269	35.33258	4790.272574186325	419.1488501161337
81	6862.962	0.0	6862.962	6862.962	10000.0	810000	2596.7102	2797.616	6480.253	0.29828888	3525.6667	0.32009345	0.13525504	-18.200113	35.79157	35.791515	4855.838959693909	418.6412600436328
82	1433.9175	220.20148	1654.119	1213.7161	2525.0	820000	4118.295	3374.3115	8723.659	733.054	5171.6665	0.31319606	0.13271782	-18.236515	35.89838	35.898365	4901.87246632576	416.4598964482788
83	1984.2512	2104.4385	4846.143	105.07696	3004.8	830000	3372.9873	1784.0078	5845.844	1703.2467	4887.6665	0.2953928	0.1318465	-18.338047	36.151554	36.151546	4994.896809577942	418.2473833727549
84	1362.0168	1115.2714	3172.426	7.932855	2063.6	840000	2342.2473	1490.6263	4388.8027	881.182	3184.6667	0.2846761	0.13610063	-18.424187	36.361866	36.361904	5061.634792566299	417.78572881183925
85	456.00842	379.45093	1098.0837	24.358284	867.7778	850000	877.0158	288.5756	1284.0765	648.18823	1409.3334	0.28865373	0.13997373	-18.435192	36.406116	36.40612	5108.208017110825	415.66790719710144
86	1082.4412	1298.0406	3537.8982	18.194458	1667.8334	860000	1975.5824	1091.7509	3495.8188	981.9246	3133.3333	0.28729764	0.1442889	-18.40837	36.357254	36.357258	5171.7003009319305	414.9387449982554
87	1131.601	536.2143	1826.4911	275.5898	1934.6666	870000	272.79865	108.61667	377.472	123.10188	812.3333	0.27405092	0.14772761	-18.398472	36.375587	36.375565	5233.816322088242	414.0931303508894
88	995.0236	641.8553	1886.2075	217.46776	1754.6	880000	2205.84	1614.9688	4344.248	441.94592	3241.3333	0.27149084	0.14731956	-18.491243	36.562126	36.562138	5294.878400802612	413.16096603021475
89	1253.779	485.52933	1747.7329	467.77704	2150.4	890000	1091.813	741.57184	2140.554	567.16077	1882.6666	0.27496615	0.13923967	-18.696028	36.948334	36.94834	5359.028301715851	412.46453775529113
90	1622.8551	1516.821	3679.4343	66.37882	3412.0	900000	2547.0735	1470.4922	4018.2947	538.6111	3870.6667	0.27458182	0.14044246	-18.725489	37.009686	37.00963	5428.896374702454	412.1939839327777
91	8336.378	0.0	8336.378	8336.378	10000.0	910000	5330.5757	3269.942	7888.1245	715.1879	7022.3335	0.27111027	0.1452768	-18.870348	37.31605	37.316044	5502.021946668625	412.14779772937516
92	2628.6116	2482.736	6132.3105	679.1824	3426.6667	920000	500.53333	571.5413	1304.0228	22.67911	1204.3334	0.26810843	0.14484408	-18.945717	37.477173	37.47714	5563.430173635483	411.21005622407665
93	6734.155	0.0	6734.155	6734.155	10000.0	930000	2342.1226	931.04645	3464.6914	1184.8931	3662.0	0.2745412	0.14292403	-18.98434	37.55306	37.552986	5628.387933731079	410.5293707066967
94	2929.5142	106.0166	3035.5308	2823.4976	4830.0	940000	3678.9912	3939.6492	9222.422	423.50336	4516.6665	0.26965573	0.13547032	-18.99923	37.58063	37.580563	5692.972784519196	409.8132890297166
95	1935.4788	898.85516	2834.334	1036.6237	2839.5	950000	2522.3738	1068.8208	3759.123	1151.4001	3691.0	0.26915458	0.13656716	-19.046406	37.660763	37.660656	5736.185930967331	407.5711055536019
96	2247.4814	2890.7585	7942.4316	210.45784	3095.0	960000	6243.752	96.58415	6363.752	6127.2476	10000.0	0.2567733	0.13526145	-19.229523	38.05477	38.054718	5846.017325878143	410.0331595786744
97	2862.771	1485.7534	4348.5244	1377.0176	4880.5	970000	2797.4094	2212.8384	5691.479	319.23355	4023.0	0.24948591	0.1284503	-19.279198	38.151966	38.15197	5912.363617897034	409.39562502202295
98	2270.6694	0.0	2270.6694	2270.6694	3840.0	980000	2278.5767	2556.838	5868.6084	109.54874	3537.6667	0.2396664	0.12242687	-19.370232	38.31834	38.318386	5949.145653009415	406.72730478340264
99	2823.0996	2082.75	5217.8384	140.57312	4214.0	990000	4435.605	1302.422	6183.4976	3058.5603	6151.3335	0.23797655	0.12739904	-19.464664	38.556515	38.55652	6034.186825752258	407.3584034761997
100	3616.4185	2851.677	6468.0957	764.74146	5309.0	1000000	4770.3853	2966.5876	6976.783	576.90814	7081.6665	0.22440168	0.12740253	-19.556982	38.766895	38.766953	6110.081768274307	407.3387844880422
101	5213.2397	2652.0244	7865.264	2561.215	6224.0	1010000	7517.1343	1946.0624	8922.168	4765.191	8892.0	0.21458825	0.12434478	-19.813902	39.301773	39.301804	6198.580559968948	408.1243635391245
102	8908.873	0.0	8908.873	8908.873	10000.0	1020000	2876.362	2639.5383	6598.2466	767.57983	3608.0	0.2245571	0.123601064	-20.229694	40.11566	40.115696	6264.9922704696655	407.42923581249573
103	897.74036	452.5199	1531.781	297.76813	1400.0	1030000	4615.234	2974.2832	8068.868	809.0299	5831.0	0.22034045	0.12039507	-20.298359	40.256874	40.25688	6314.601467132568	405.6467284601483
104	8479.985	0.0	8479.985	8479.985	10000.0	1040000	3356.0195	3788.7085	8706.695	437.4358	4397.3335	0.21460722	0.116170935	-20.643534	40.945137	40.945118	6382.419426441193	405.0381558482464
105	4344.457	3872.1785	8216.636	472.2788	5516.0	1050000	1454.0044	1906.7913	4147.7925	0.2970971	2343.6667	0.21924523	0.11235415	-20.997051	41.615482	41.615437	6449.046675205231	404.3449899084984
106	4508.8203	2126.006	6634.8267	2382.8145	6715.0	1060000	3981.711	2793.4636	7876.4585	1461.3062	5368.3335	0.22288145	0.11262605	-21.166153	41.955425	41.955402	6535.647400140762	404.8813011593789
107	3169.7485	1943.3193	5113.068	1226.4291	4442.5	1070000	599.0913	444.06708	1209.895	167.26761	1064.3334	0.22524282	0.118436314	-21.254171	42.161358	42.16137	6588.803423404694	403.3332936173287
108	830.56226	751.25134	2049.1914	107.90781	1403.8334	1080000	2991.2278	3301.9426	7646.0747	342.0286	4050.3333	0.22565892	0.11657582	-21.251347	42.15461	42.154682	6647.934639215469	402.1590089812691
109	7469.014	0.0	7469.014	7469.014	10000.0	1090000	5740.3906	3432.2483	8237.948	887.14905	7208.6665	0.22477375	0.112038344	-21.42079	42.50242	42.50247	6722.459078073502	401.9084860948977
110	2653.4197	1220.9927	4265.1943	1310.9956	3925.0	1100000	4157.9653	3266.2239	8390.227	439.243	5434.0	0.22816369	0.111981615	-21.52534	42.715164	42.71521	6801.375716209412	401.89947408329357
111	1436.5535	1583.3882	4163.661	282.56503	2047.75	1110000	5025.7227	2374.6187	7804.61	2003.3186	6616.0	0.2305655	0.11341259	-21.703054	43.068344	43.068348	6864.553119659424	400.9476220985791
112	3901.0645	1880.8672	5781.9316	2020.1974	6046.5	1120000	5827.2046	3450.109	8408.702	950.8203	7265.3335	0.23275939	0.1128991	-21.877731	43.417896	43.417908	6963.796509027481	402.0763460156464
113	2675.2397	1875.4614	4550.701	799.77826	3813.5	1130000	3199.721	1228.8969	4560.755	1583.2708	4398.3335	0.23627745	0.11254942	-22.091562	43.82443	43.824432	7043.995127439499	402.0687483702086
114	6075.084	0.0	6075.084	6075.084	8505.0	1140000	5128.7456	3265.937	7885.4287	541.0363	7019.0	0.2425923	0.112324886	-22.323107	44.280437	44.280437	7149.581670999527	403.47054453767527
115	3387.6877	3024.1172	7354.4175	19.86663	4648.3335	1150000	3559.8174	2508.8098	6964.767	993.67145	5027.6665	0.23883063	0.10894333	-22.584925	44.805473	44.80548	7282.490492343903	406.3418607381807
116	543.2071	528.61914	1266.9249	19.077654	1437.0	1160000	797.76074	521.8017	1387.5245	118.75712	1400.3334	0.22955084	0.11012763	-22.66347	44.981514	44.981506	7333.555733203888	404.6099714344945
117	7878.0176	0.0	7878.0176	7878.0176	10000.0	1170000	6609.2837	1636.2732	8839.54	4959.7837	8999.667	0.22714554	0.114597306	-22.9094	45.49528	45.495277	7453.185653448105	406.6339180776876
118	5817.388	2944.7974	8762.186	2872.5908	7246.0	1180000	4658.115	3338.38	7737.417	19.17443	6691.3335	0.22533931	0.113448925	-23.24153	46.13624	46.13627	7595.736736774445	409.82647357364164
119	5502.8867	0.0	5502.8867	5502.8867	8833.0	1190000	2869.6152	2640.913	6595.3677	781.549	4100.0	0.22247323	0.114101365	-23.38733	46.435932	46.43594	7690.2851276397705	410.363954239132
120	3878.1606	2819.8677	6698.0283	1058.293	5830.5	1200000	3907.0234	3210.903	8027.74	194.50989	5053.6665	0.20858851	0.10848476	-23.550682	46.785164	46.78511	7804.6704478263855	411.91316247383753
121	1890.4667	957.0733	2621.791	538.4692	2719.0	1210000	5372.6514	3785.912	8116.073	19.116682	6687.0	0.2084481	0.10859256	-23.685274	47.05041	47.050438	7903.2988340854645	412.58268013181106
122	3200.4082	3366.7642	7916.602	275.92963	4298.3335	1220000	3078.8098	2063.028	5753.9214	732.80963	4294.6665	0.2037605	0.1037558	-23.921228	47.550896	47.55091	8011.319104909897	413.6992652166085
123	3751.2944	1083.3287	4834.623	2667.9656	4989.5	1230000	2722.2097	1295.9022	4339.1973	1166.6835	3802.3333	0.19959344	0.09870998	-24.080654	47.86278	47.862774	8109.86305642128	414.28433222512245
124	1471.7031	939.6238	2367.136	173.69902	2400.0	1240000	5030.979	3425.9888	7490.984	186.09335	6851.6665	0.20410687	0.09749812	-24.17639	48.064262	48.064297	8202.974672079086	414.5589349923595
125	7076.3374	0.0	7076.3374	7076.3374	10000.0	1250000	5092.746	2441.0784	7422.427	1721.6111	6898.3335	0.20336848	0.09370983	-24.334438	48.38252	48.382526	8316.372011899948	415.81860053539276
126	1778.9382	1540.7244	3319.6626	238.2138	2321.5	1260000	3226.2568	2425.8672	6590.512	962.2463	4905.6665	0.19875199	0.08754392	-24.427366	48.581993	48.58196	8384.068311452866	414.7674005340647
127	2970.4082	2657.3	7446.419	489.29285	4203.75	1270000	8616.146	501.85666	9233.8125	8004.565	9939.333	0.19719106	0.088678665	-24.678823	49.06883	49.068855	8552.401540279388	418.6411777007298
128	2256.896	1715.9614	4655.347	737.7342	3486.6667	1280000	5694.4395	1200.9854	7392.375	4809.2837	7877.0	0.19773698	0.09007521	-24.916273	49.546936	49.54695	8674.803764820099	420.18580731227996
129	8679.723	0.0	8679.723	8679.723	10000.0	1290000	4851.5264	2778.0864	8758.992	2543.633	6081.6665	0.18953769	0.087272204	-25.172781	50.057392	50.05738	8784.494268417358	421.0655520853454
130	2484.1267	1788.4868	5012.108	1149.3512	3562.3333	1300000	3850.282	3327.1252	8520.703	1020.0775	5052.3335	0.19745992	0.09091014	-25.331577	50.377556	50.377502	8894.979451179504	421.94133287270864
131	1507.8629	416.90018	1851.4509	921.1363	2297.6667	1310000	4274.2153	1232.408	5558.919	2611.8652	6412.0	0.2025035	0.09075934	-25.367983	50.449387	50.449413	8982.726880311966	421.7081702792918
132	5493.8496	0.0	5493.8496	5493.8496	10000.0	1320000	4426.064	2305.8933	7158.5933	1518.4758	6201.3335	0.19770828	0.08795295	-25.42907	50.583786	50.583775	9093.662531614304	422.5338145337924
