Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	TotalEnvInteracts	LossQ	LossPi	Qval	Time	remian_mins
60	-141.56285	20.210695	-130.1895	-192.732	71.71429	60000	0.13942768	66.82913	-67.40124	22354.18660402298	30674.911617742644
61	-133.78731	2.3284984	-130.08437	-138.60306	67.71429	61000	0.1181889	67.24064	-67.83289	22397.3619017601	30224.199571801404
62	-133.77011	2.7341921	-130.05948	-140.59052	67.73333	62000	0.11314182	67.428246	-68.04332	22440.09694314003	29787.419006781038
63	-132.99303	2.1870878	-130.05305	-136.6082	67.333336	63000	0.10819279	67.46394	-68.09471	22482.585855722427	29364.160415264978
64	-132.96252	1.8703283	-130.07584	-136.49493	67.333336	64000	0.10136858	67.39457	-68.04005	22525.3061876297	28954.40399534901
65	-133.40889	1.5731674	-130.10204	-136.52348	67.53333	65000	0.103188336	67.283875	-67.92078	22568.639077425003	28558.00867874164
66	-132.51602	2.0391824	-130.07985	-136.48921	67.13333	66000	0.105925046	67.12368	-67.759	22611.370614767075	28172.85419526786
67	-132.39166	2.2694557	-130.051	-136.51132	67.066666	67000	0.10078653	66.962814	-67.60222	22654.429984092712	27799.57788844014
68	-132.82518	2.053311	-130.05495	-136.50409	67.28571	68000	0.09382103	66.72583	-67.36096	22696.603682279587	27436.18856887327
69	-133.55304	2.4072392	-130.07066	-138.51474	67.6	69000	0.09110641	66.43276	-67.05776	22739.290831565857	27083.923451799816
70	-133.30058	1.879538	-130.14735	-136.56085	67.46667	70000	0.09020778	66.267136	-66.8832	22782.611490488052	26742.446344787164
71	-131.48096	1.712173	-130.08151	-136.46747	66.6	71000	0.085071616	66.03883	-66.64073	22824.911351919174	26409.386867044508
72	-133.0187	2.7545443	-130.1128	-136.54303	67.333336	72000	0.08124255	65.85066	-66.45101	22867.66948914528	26086.08223206202
73	-131.49034	1.5357578	-130.08127	-134.49364	66.6	73000	0.07543506	65.576416	-66.17521	22910.825436353683	25772.063224866346
74	-131.64401	1.9980519	-128.10655	-136.55797	66.666664	74000	0.07511657	65.376816	-65.96528	22954.008148908615	25466.54147331618
75	-132.66035	2.4087875	-128.15651	-136.54158	67.13333	75000	0.07281456	65.20266	-65.77652	22997.60625934601	25169.60240606202
76	-131.10846	1.7066401	-128.15408	-134.52547	66.4	76000	0.07327413	65.09369	-65.657616	23041.310859441757	24880.5733929586
77	-132.09602	2.1706905	-128.18889	-136.57086	66.86667	77000	0.072103195	64.9534	-65.51112	23084.443845272064	24598.42360395549
78	-132.38055	2.3056262	-130.14734	-136.53806	67.0	78000	0.068213925	64.793724	-65.34322	23127.402647972107	24323.306801991177
79	-131.54376	1.7175099	-130.15964	-134.55505	66.6	79000	0.068855576	64.70338	-65.244705	23169.860547542572	24054.616825834808
80	-132.08344	1.7398933	-130.11192	-134.55457	66.86667	80000	0.06684915	64.568886	-65.1079	23212.399027585983	23792.70900327563
81	-132.30374	2.5610256	-130.06406	-138.53397	67.0	81000	0.07088091	64.42556	-64.958824	23255.25585794449	23537.572750047108
82	-131.93735	2.4424455	-130.08463	-136.5419	66.8	82000	0.066899836	64.25719	-64.78562	23298.073736429214	23288.602974747737
83	-132.0864	1.901147	-128.08333	-134.52472	66.86667	83000	0.06904351	64.14088	-64.660706	23341.259952783585	23045.9789533809
84	-131.70735	1.9795815	-130.25961	-136.55637	66.666664	84000	0.06927435	64.03948	-64.552536	23383.779808998108	22808.464591475138
85	-133.14708	2.1836967	-130.14314	-136.55247	67.35714	85000	0.06949118	63.917435	-64.422195	23426.21471595764	22576.440260574866
86	-132.55717	1.6270158	-130.23636	-134.57323	67.066666	86000	0.065430574	63.81152	-64.311134	23469.162296056747	22350.283628454043
87	-132.09341	1.8778058	-128.15155	-134.49004	66.86667	87000	0.066141166	63.715828	-64.20794	23512.05866599083	22129.26134597949
88	-132.21799	2.1128364	-130.13992	-136.51973	66.933334	88000	0.063131064	63.60035	-64.086266	23554.581645965576	21912.898682761916
89	-132.22694	2.113105	-130.14914	-136.53683	66.933334	89000	0.06424167	63.50865	-63.987465	23598.15616440773	21702.34923659295
90	-132.22954	2.490019	-128.18726	-136.54936	66.933334	90000	0.063047886	63.466385	-63.94308	23641.121093273163	21495.908253328005
91	-132.15703	1.8570684	-128.23827	-134.57385	66.86667	91000	0.062313974	63.346592	-63.817562	23683.67139482498	21293.61591157433
92	-131.70103	1.676572	-130.15205	-134.56244	66.666664	92000	0.0639886	63.237915	-63.709187	23726.26485323906	21095.744184727773
93	-132.25494	1.9502428	-130.22403	-136.56323	66.933334	93000	0.06504978	63.140972	-63.60848	23769.384821653366	20902.575505350014
94	-131.56844	2.15739	-128.2323	-136.57918	66.6	94000	0.067182876	63.040062	-63.509167	23812.472994089127	20713.473849113696
95	-131.5969	1.0510051	-130.24513	-132.5529	66.6	95000	0.06647022	62.849693	-63.311405	23855.27577805519	20528.092577431704
96	-132.58095	1.4241788	-130.30658	-134.5716	67.066666	96000	0.0626422	62.786575	-63.238495	23898.159467697144	20346.627435692153
97	-132.12625	1.7281262	-130.16466	-134.57625	66.86667	97000	0.059955947	62.692905	-63.143547	23940.84426188469	20168.721549144437
98	-132.01826	1.3798527	-130.20175	-134.51413	66.8	98000	0.061189204	62.582134	-63.029144	23983.565585136414	19994.46232964944
99	-131.57928	1.8705297	-130.1802	-134.59828	66.6	99000	0.061191007	62.50612	-62.949238	24026.100425243378	19823.55524985148
100	-132.15442	1.7118188	-130.25056	-134.61389	66.86667	100000	0.0642458	62.374012	-62.81067	24069.121084213257	19656.448885440826
101	-131.60194	1.6960335	-128.21913	-134.5471	66.6	101000	0.06387366	62.322384	-62.756092	24112.114020824432	19492.61494851797
102	-131.00832	1.6709106	-128.2318	-134.57622	66.333336	102000	0.067148075	62.184456	-62.620274	24154.815984010696	19331.746517922285
103	-131.85577	1.6432391	-130.22166	-134.54828	66.73333	103000	0.06532632	62.059956	-62.49312	24197.963536024094	19174.341009046926
104	-132.0206	1.7631513	-130.25198	-134.57303	66.8	104000	0.064317286	61.993076	-62.416924	24241.176870822906	19020.00031403028
105	-131.4564	1.5366585	-130.20781	-134.58423	66.53333	105000	0.06525597	61.93219	-62.34524	24284.313993692398	18868.526507797502
106	-132.44711	1.7599404	-130.214	-134.61253	67.0	106000	0.065756485	61.90207	-62.30966	24327.873032569885	18720.221795817142
107	-132.17929	2.544016	-128.1755	-136.57106	66.86667	107000	0.06612889	61.849396	-62.253162	24370.67978286743	18574.102208344288
108	-130.89084	1.8176233	-128.1785	-134.57562	66.26667	108000	0.068159096	61.77758	-62.17801	24413.35515522957	18430.576144966522
109	-131.29811	2.1538558	-128.1214	-134.55696	66.46667	109000	0.06710528	61.693893	-62.099453	24456.61100077629	18290.104649051504
110	-131.27968	1.865806	-128.13893	-134.49292	66.46667	110000	0.06707983	61.61269	-62.01863	24500.04745078087	18152.307883987647
111	-131.12152	1.5478806	-128.15288	-134.51627	66.4	111000	0.0667301	61.48036	-61.88239	24543.249561071396	18016.808874486193
112	-130.71759	2.0880492	-128.13507	-134.56882	66.2	112000	0.06488441	61.41073	-61.802864	24586.581204414368	17883.810852258546
113	-131.42421	2.3136535	-128.15923	-134.55287	66.53333	113000	0.062267028	61.33792	-61.72525	24630.222662448883	17753.377308464263
114	-131.55743	1.8869596	-128.18916	-134.58524	66.6	114000	0.063749604	61.275723	-61.65858	24673.17920088768	17624.7300549031
115	-131.32744	1.880264	-128.11853	-134.55807	66.46667	115000	0.0657872	61.263676	-61.64632	24716.55712246895	17498.606020762436
116	-132.44283	1.7431924	-130.20024	-136.60072	67.0	116000	0.06536194	61.163204	-61.547447	24760.178761720657	17374.815096586735
117	-131.85722	2.131598	-128.18456	-134.61464	66.73333	117000	0.064532965	61.06439	-61.443314	24803.954335689545	17253.23490330086
118	-132.59752	2.1129043	-128.223	-134.63072	67.066666	118000	0.06419441	61.003098	-61.374527	24847.98894238472	17133.88164077997
119	-132.17563	1.5014061	-130.34041	-134.59828	66.86667	119000	0.062816836	60.97704	-61.346455	24891.139954566956	17015.917943731274
120	-131.75832	1.8359149	-128.26915	-134.57574	66.666664	120000	0.06183667	60.932198	-61.29541	24934.28367447853	16899.90337936878
121	-131.45729	2.2949712	-128.14592	-134.55797	66.53333	121000	0.063393824	60.922276	-61.281296	24977.44676232338	16785.807541787293
122	-130.62358	1.740098	-128.13275	-132.54039	66.13333	122000	0.068024255	60.89521	-61.25397	25021.48591732979	16674.154139991082
123	-131.5749	2.427204	-128.13248	-134.57443	66.6	123000	0.068889745	60.799175	-61.153328	25064.338372945786	16563.520087378944
124	-131.75133	2.4122126	-128.13808	-134.60286	66.666664	124000	0.068735056	60.703617	-61.055923	25107.002392053604	16454.53543866309
125	-131.17319	1.8814554	-128.15355	-134.61314	66.4	125000	0.07141662	60.692066	-61.045063	25149.85673213005	16347.406875884533
126	-131.02359	2.0204597	-128.15561	-134.62753	66.333336	126000	0.071387686	60.63275	-60.984123	25192.520569324493	16241.844610434864
127	-130.89378	1.6609802	-128.17798	-134.60213	66.26667	127000	0.07166623	60.565353	-60.91224	25234.88731789589	16137.743556444446
128	-130.77588	1.7818886	-128.18103	-134.56302	66.2	128000	0.06985145	60.539246	-60.88258	25277.52931547165	16035.432659502327
129	-131.33485	2.1681507	-128.21033	-134.59825	66.46667	129000	0.07194289	60.473167	-60.811184	25320.271244764328	15934.759849256723
130	-130.87198	1.6075169	-128.20232	-132.54095	66.25	130000	0.06730626	60.44237	-60.783787	25364.022811174393	15836.255268002475
131	-131.03136	1.5008941	-128.21147	-132.54866	66.333336	131000	0.06595553	60.38885	-60.72572	25406.952191114426	15738.73412449569
132	-131.15997	2.3014011	-128.16196	-134.5673	66.4	132000	0.070416756	60.334667	-60.667908	25449.433471679688	15642.404310623324
133	-130.8561	2.097213	-128.2013	-134.52971	66.26667	133000	0.07275867	60.328472	-60.6575	25492.17146062851	15547.668984821923
134	-131.45639	2.1755145	-128.13806	-134.55376	66.53333	134000	0.072852045	60.289703	-60.616737	25534.807919740677	15454.275539484841
135	-130.90259	1.6588959	-128.16914	-134.58873	66.26667	135000	0.072695605	60.258663	-60.58402	25577.347912073135	15362.197233609359
136	-130.475	1.6538464	-128.17166	-132.5557	66.066666	136000	0.07544746	60.189472	-60.514706	25620.265166044235	15271.687471524407
137	-131.20686	1.7276148	-128.18388	-134.59142	66.4	137000	0.07895858	60.146072	-60.47074	25663.0024869442	15182.382128225017
138	-131.041	1.8585536	-128.19676	-134.61217	66.333336	138000	0.07274866	60.064995	-60.388336	25705.94752049446	15094.482710705806
139	-131.34586	1.5429814	-128.20317	-134.60855	66.46667	139000	0.071633	60.011307	-60.33372	25749.467453718185	15008.172816849412
140	-131.89647	1.9811424	-128.24803	-134.61423	66.73333	140000	0.06813164	59.956455	-60.27493	25792.189465761185	14922.623905190401
141	-132.4621	1.9032011	-128.25562	-134.62434	67.0	141000	0.068529546	59.886368	-60.200294	25835.546192646027	14838.642901899178
142	-132.21054	1.0653116	-130.25293	-134.58119	66.86667	142000	0.068138205	59.87701	-60.18972	25879.18368601799	14755.99464162857
143	-131.91487	1.4515134	-130.27872	-134.60713	66.73333	143000	0.06381178	59.829865	-60.137352	25923.461528539658	14674.854620526468
144	-131.9391	1.4417539	-130.28947	-134.57957	66.73333	144000	0.0652307	59.816566	-60.12038	25967.62195444107	14594.76530217197
145	-131.64717	1.5148795	-128.27457	-134.5798	66.6	145000	0.066744186	59.842274	-60.140892	26011.83832859993	14515.801733948581
146	-131.35497	1.8825859	-128.23158	-134.56593	66.46667	146000	0.058827635	59.838055	-60.133137	26055.713208675385	14437.720538231772
147	-131.06815	1.2706198	-128.27927	-132.5491	66.333336	147000	0.05930655	59.795235	-60.09196	26099.7218606472	14360.765327632751
148	-130.91461	1.4488552	-128.19534	-132.56337	66.26667	148000	0.06020006	59.747147	-60.04413	26143.622614383698	14284.78118524659
149	-131.21611	1.7088469	-128.21654	-134.57722	66.4	149000	0.05967768	59.713337	-60.013145	26187.352411031723	14209.714378737683
150	-130.47496	1.1955681	-128.17253	-132.50282	66.0625	150000	0.06160282	59.63878	-59.936787	26231.326118946075	14135.77018632094
151	-131.7908	1.6806101	-128.2461	-134.57545	66.666664	151000	0.05580921	59.6329	-59.927063	26274.21223425865	14062.213589836667
152	-131.08623	1.6864636	-128.20244	-134.5666	66.333336	152000	0.059365198	59.485123	-59.77671	26317.84429550171	13990.011967608803
153	-131.34052	1.5471249	-128.19722	-134.57861	66.46667	153000	0.05737179	59.463493	-59.753006	26361.07249903679	13918.531416430427
154	-130.48611	2.1382663	-128.16362	-134.58456	66.066666	154000	0.057522934	59.43701	-59.725697	26403.579881429672	13847.591786299588
155	-131.52573	1.0842673	-130.28708	-132.57263	66.53333	155000	0.05667154	59.407024	-59.6949	26446.39761018753	13777.720045307373
156	-131.08371	2.140535	-128.21118	-134.57335	66.333336	156000	0.059279323	59.337246	-59.621513	26489.08047056198	13708.665149508784
157	-130.3268	1.7157271	-128.17815	-134.50462	66.0	157000	0.06086387	59.28695	-59.57168	26532.745062828064	13640.98559864929
158	-130.04749	1.870784	-128.16109	-134.523	65.86667	158000	0.06188222	59.260136	-59.54522	26576.07126235962	13573.980701724186
159	-130.35025	1.5594062	-128.20059	-132.55814	66.0	159000	0.06125015	59.214024	-59.49861	26618.79580760002	13507.50424576433
160	-131.06122	1.985252	-128.21169	-134.55347	66.333336	160000	0.06114392	59.130802	-59.413906	26661.68047618866	13441.930573411782
161	-130.77742	1.727205	-128.21056	-132.57355	66.1875	161000	0.0578776	59.043938	-59.324505	26705.21063542366	13377.485948738622
162	-131.77507	1.6985024	-128.16295	-134.56757	66.666664	162000	0.059015382	59.027718	-59.30404	26748.185052633286	13313.551366732492
163	-130.92413	1.9944515	-128.15834	-134.54814	66.26667	163000	0.0572897	59.00256	-59.27666	26791.394642591476	13250.508781821572
164	-130.63182	1.5554996	-128.14969	-132.53552	66.13333	164000	0.056250125	58.97717	-59.246788	26834.719654798508	13188.282952297315
